,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
5,165,SFO,Darius Fleming,LB,23,2015,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,3,,,Notre Dame,College Stats
5,166,CIN,Marvin Jones,WR,22,2020,0,0,6,46,15,112,0,0,0,0,0,19,148,0,423,6025,51,3,,,California,College Stats
5,167,CIN,George Iloka,DB,22,2020,0,0,4,31,29,103,0,0,0,0,0,0,0,0,0,0,0,246,9,,Boise St.,College Stats
5,168,OAK,Juron Criner,WR,22,2014,0,0,0,1,1,13,0,0,0,0,0,0,0,0,19,183,1,,,,Arizona,College Stats
5,169,BAL,Asa Jackson,DB,22,2017,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,30,,,,
5,170,IND,Vick Ballard,RB,22,2014,0,0,1,5,5,17,0,0,0,0,0,224,877,2,18,147,1,,,,Mississippi St.,College Stats
6,171,STL,Greg Zuerlein,K,24,2020,1,1,0,23,21,135,0,0,0,0,0,0,0,0,0,0,0,7,,,,
6,172,SEA,Jeremy Lane,DB,22,2017,0,0,1,11,11,70,0,0,0,0,0,0,0,0,0,0,0,103,2,,Northwestern St. (LA),
6,173,WAS,Alfred Morris,RB,23,2020,0,2,4,36,28,114,0,0,0,0,0,1429,6173,35,68,513,1,,,,Florida Atlantic,College Stats
6,174,TAM,Keith Tandy,DB,23,2018,0,0,0,10,10,90,0,0,0,0,0,1,18,0,0,0,0,136,8,1,West Virginia,College Stats
6,175,MIN,Blair Walsh,K,22,2017,1,1,0,14,13,89,0,0,0,0,0,0,0,0,0,0,0,1,,,Georgia,College Stats
6,176,JAX,Mike Harris,DB,23,2014,0,0,0,6,5,36,0,0,0,0,0,0,0,0,0,0,0,102,2,2,Florida St.,College Stats
6,177,ARI,Justin Bethel,DB,22,2020,0,3,0,16,12,142,0,0,0,0,0,0,0,0,0,0,0,194,4,,Presbyterian,
6,178,BUF,Mark Asper,G,26,2014,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats
